Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months,Weather Condition,Severity Group,Crash Counterpart Group
30270-11146,Waymo LLC,2025-06-01,2025-06-01,Austin,TX,Street,"Other, see Narrative",Property Damage. No Injured Reported,Proceeding Straight,31,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 1:28 PM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving debris on [XXX] near [XXX]. 
The Waymo AV was traveling southeastbound on [XXX] in the right lane when the vehicle traveling ahead of the Waymo AV made contact with a stationary piece of debris that was in the roadway. The Waymo AV then made contact with the debris as it was moving across the roadway. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Unknown,No Injury,Other / Unknown
30270-11224,Waymo LLC,2025-06-01,2025-06-01,Mesa,AZ,Street,SUV,Property Damage. No Injured Reported,Proceeding Straight,6,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 5:34 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Mesa, Arizona was in a collision involving an autonomous vehicle on [XXX] near [XXX]. 
The Waymo AV was parked facing east for a passenger pick-up on [XXX] adjacent to a parking lot at [XXX]. A passenger entered the Waymo AV and the Waymo AV began to proceed forward momentarily before the passenger opened the front passenger side door and exited the Waymo AV, prompting the Waymo AV to stop. The passenger then re-entered the Waymo AV and the Waymo AV proceeded to pass to the left of a different Waymo AV stopped facing east on [XXX]. While the first Waymo AV was passing the stopped Waymo AV, the passenger in the moving Waymo AV opened the front passenger side door, which then made contact with the driver side mirror of the stopped Waymo AV. The passenger in the moving Waymo AV was not belted at the time of the collision. At the time of the impact, the Level 4 ADS of both Waymo AVs were engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Passenger Vehicle
30270-11218,Waymo LLC,2025-06-01,2025-06-01,San Francisco,CA,Intersection,Bus,Property Damage. No Injured Reported,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 6:48 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a bus on [XXX] at [XXX]. 
The Waymo AV was parked facing south in the right lane on [XXX] at the intersection at [XXX] for a passenger drop-off with hazard lights activated. A bus was traveling southbound on [XXX] in the left adjacent lane. As the bus proceeded forward past the Waymo AV on the left, a Waymo AV passenger opened the rear driver side door and the front passenger side of the bus made contact with the rear driver side door of the Waymo AV. Three of the four passengers inside the Waymo AV were not belted at the time of impact. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Unknown,No Injury,Commercial Vehicle
30270-11192,Waymo LLC,2025-06-01,2025-06-01,San Francisco,CA,Street,Passenger Car,Minor W/ Hospitalization,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 2:27 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped facing north in the rightmost lane on [XXX] for a red light at the intersection with [XXX]. While the Waymo AV remained stopped, a passenger car that was stopped in the leftmost lane of [XXX], oriented diagonally relative to the roadway facing northeast after exiting a parallel parking spot at the west side curb of [XXX], proceeded northeastbound into the rightmost lane and the front of the passenger car made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Neither vehicle sustained damage. A passenger in the Waymo AV reported a minor injury and was transported to a hospital in an ambulance. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,Minor Injury,Passenger Vehicle
30270-11204,Waymo LLC,2025-06-01,2025-06-01,Phoenix,AZ,Parking Lot,Van,No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 5:58 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a van at the entrance of a parking lot at [XXX]. 
The Waymo AV was stopped facing south at the entrance of a parking lot at [XXX] while yielding to traffic and preparing to make a left turn at the intersection at [XXX]. As the Waymo AV remained stopped, a van traveling westbound in the rightmost lane on [XXX] traveled onto the north sidewalk of [XXX]. It then entered the parking lot entrance from the sidewalk, traveling perpendicular to the standard direction of travel. The front of the van made contact with the front driver side of the Waymo AV, which was still stationary at intersection, causing the Waymo AV to spin and the front of the Waymo AV to then make contact with a sign pole. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Passenger Vehicle
30610-11166,"Zoox, Inc.",2025-06-01,2025-06-01,Paradise,NV,Street,Pickup Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Not Engaged,Yes,"A Zoox vehicle (Vehicle 1) operating in autonomous mode was traveling in the left through lane (lane #2) on westbound [XXX], approaching [XXX] in Las Vegas. The Zoox vehicle operator disengaged from autonomy after the traffic light at [XXX] transitioned from green to yellow and braked, bringing the Zoox vehicle to a stop, at which point it was rear-ended by a pickup truck (Vehicle 2) traveling behind. Both vehicles sustained minor damage however, the Zoox vehicle was towed from the scene as its operator was not comfortable driving it back. There were no reported injuries, and the police were not notified.",2025,6,June,2,0,Clear,No Injury,Passenger Vehicle
30270-11209,Waymo LLC,2025-06-01,2025-06-01,Chandler,AZ,Parking Lot,Other Fixed Object,No Injured Reported,Proceeding Straight,10,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:05 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Chandler, Arizona was in a collision involving an elevated gate track in a parking lot at [XXX]. 
The Waymo AV was traveling eastbound in a parking lot at [XXX] through a gate opening when the bottom of the Waymo AV made contact with the elevated gate track. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Fixed Infrastructure
30270-11205,Waymo LLC,2025-06-01,2025-06-01,San Francisco,CA,Intersection,Non-Motorist: Cyclist,Minor W/ Hospitalization,Parked,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 10:04 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a cyclist on [XXX] at [XXX]. 
The Waymo AV was stopped facing southeast in the right lane on [XXX] for a red light at the intersection at [XXX] when a Waymo AV passenger opted to end their ride prior to reaching their originally specified drop-off location, prompting the Waymo AV to park in-lane and activate its hazard lights for the passenger drop-off. A cyclist was traveling southeastbound on [XXX] in between vehicles in the right lane and vehicles stopped at the curb. As the cyclist passed the Waymo AV to the right, a Waymo AV passenger opened the front passenger side door and the front passenger side door of the Waymo AV made contact with the cyclist. The passengers in the vehicle were not belted at the time of the collision, as they were preparing to exit the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage. The cyclist reported minor injuries and was transported from the scene in an ambulance. 
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because an individual involved was transported from the scene to a hospital for medical treatment and a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,Minor Injury,Vulnerable Road User
30270-11189,Waymo LLC,2025-06-01,2025-06-01,San Francisco,CA,Street,Heavy Truck,Property Damage. No Injured Reported,Stopped,0,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 9:00 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX].
The Waymo AV was traveling southbound on a narrow portion of [XXX] and came to a stop to yield to a heavy truck traveling northbound on [XXX]. As the heavy truck passed the Waymo AV, the driver side of the heavy truck made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Commercial Vehicle
30270-11174,Waymo LLC,2025-06-01,2025-06-01,Chandler,AZ,Parking Lot,Other Fixed Object,No Injured Reported,Proceeding Straight,10,ADS,Verified Engaged,Yes,"On June [XXX], 2025 at 8:16 AM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Chandler, Arizona was in a collision involving an elevated gate track in a parking lot at [XXX]. 
The Waymo AV was traveling eastbound in a parking lot at [XXX] through a gate opening when the bottom of the Waymo AV made contact with the elevated gate track. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",2025,6,June,2,0,Clear,No Injury,Fixed Infrastructure
