Report ID,Reporting Entity,Report Submission Date,Incident Date,City,State,Roadway Type,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,SV Precrash Speed (MPH),Weather - Clear,Weather - Rain,Weather - Fog/Smoke/Haze,Automation System Engaged?,Engagement Status,Within ODD?,Narrative,Incident Year,Incident Month,Incident Month Name,Incident Quarter,Reporting Delay Months
13781-11375,"Tesla, Inc.",2025-08-01,2025-07-01,Austin,TX,Intersection,SUV,Property Damage. No Injured Reported,Making Right Turn,2, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,7,July,3,1
13781-11375,"Tesla, Inc.",2025-08-01,2025-07-01,Austin,TX,Intersection,SUV,Property Damage. No Injured Reported,Making Right Turn,2, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,7,July,3,1
13781-11375,"Tesla, Inc.",2025-12-01,2025-07-01,Austin,TX,Intersection,SUV,Minor W/ Hospitalization,Making Right Turn,2, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,7,July,3,5
13781-11375,"Tesla, Inc.",2026-03-01,2025-07-01,Austin,TX,Intersection,SUV,Minor W/ Hospitalization,Making Right Turn,2, , , ,ADS,Verified Engaged,Yes,Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was in the right turn only slip lane with a yield sign yielding for cross traffic from the left. The ADS was stopped then creeped forward up to 2MPH while continuing to yield for cross traffic and was rear-ended by an SUV behind the ADS. The ADS had a safety monitor present with no passengers in the vehicle. On 07/29 Tesla received notice that the safety monitor reported a minor complaint of pain and later sought medical evaluation.,2025,7,July,3,8
13781-11459,"Tesla, Inc.",2026-03-01,2025-07-01,Austin,TX,Street,Other Fixed Object,Minor W/O Hospitalization,"Other, see Narrative",8,Y, , ,ADS,Verified Engaged,Yes,Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped on the right side of the street. Safety monitor requested support to assist with the Tesla ADS not proceeding forward. The teleoperator took over vehicle control and gradually increased vehicle speed and turned the Tesla ADS left toward the left side of the street. The Tesla vehicle was driven up the curb and made contact with a metal fence. The safety monitor was present and no passengers were inside the vehicle.,2025,7,July,3,8
13781-11459,"Tesla, Inc.",2026-03-01,2025-07-01,Austin,TX,Street,Other Fixed Object,Minor W/O Hospitalization,"Other, see Narrative",8,Y, , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped on the right side of the street. Safety monitor requested support to assist with the Tesla ADS not proceeding forward. The teleoperator took over vehicle control and gradually increased vehicle speed and turned the Tesla ADS left toward the left side of the street. The Tesla vehicle was driven up the curb and made contact with a metal fence. The safety monitor was present and no passengers were inside the vehicle.  On 03/20/2026, while submitting this report and removing confidential or personally identifying information, the report was submitted in error indicating airbag deployment and tow for the subject vehicle. This is in error and the reports were updated to reflect that no airbags were deployed and no tow of the Tesla vehicle was conducted.",2025,7,July,3,8
13781-11459,"Tesla, Inc.",2025-08-01,2025-07-01,Austin,TX,Street,Other Fixed Object,Minor W/O Hospitalization,"Other, see Narrative",8,Y, , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,7,July,3,1
13781-11507,"Tesla, Inc.",2025-08-01,2025-07-01,Austin,TX,Street,SUV,Property Damage. No Injured Reported,Stopped,0, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,7,July,3,1
13781-11507,"Tesla, Inc.",2026-03-01,2025-07-01,Austin,TX,Street,SUV,Property Damage. No Injured Reported,Stopped,0, , , ,ADS,Verified Engaged,Yes,Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped at a red light at an intersection. An SUV that had been stopped behind the ADS crept forward and rear ended the ADS. Safety monitor was present and no passengers were inside the vehicle.,2025,7,July,3,8
13781-11687,"Tesla, Inc.",2025-09-01,2025-09-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Making Left Turn,6, , , ,ADS,Verified Engaged,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",2025,9,September,3,0
13781-11687,"Tesla, Inc.",2026-03-01,2025-09-01,Austin,TX,Parking Lot,Other Fixed Object,Property Damage. No Injured Reported,Making Left Turn,6, , , ,ADS,Verified Engaged,Yes,"Summary: This updated report does not report a new incident or make any material changes to the factual record. It only removes confidential or personally identifying information to make the incident narrative publicly available. The Tesla ADS was stopped in the bi-directional turn lane (or center left turn lane) of a five lane road with its left indicator active. When the two lanes of oncoming traffic were clear, the ADS made an unprotected left turn into an entrance of a parking lot. As the ADS entered the parking lot, the ADS made contact with a metal chain. The ADS had a safety monitor present with one passenger in the vehicle. On 03/20/2026, while submitting this report and removing confidential or personally identifying information, the report was submitted in error indicating airbag deployment and tow for the subject vehicle. This is in error and the reports were updated to reflect that no airbags were deployed and no tow of the Tesla vehicle was conducted.",2025,9,September,3,6
